win,kills,deaths,assists,gold_earned,cs,wards_placed,wards_killed,damage_dealt
0,16,6,19,17088,231,11,7,15367
1,8,8,5,14865,259,10,2,38332
0,0,17,11,15919,169,14,5,24642
0,19,11,1,11534,264,14,3,15789
0,12,7,6,18926,124,15,7,40268
1,15,7,15,19245,70,9,5,25950
0,12,17,2,8156,221,11,7,30563
0,13,19,12,16580,182,12,0,44649
0,2,14,2,9307,136,3,5,41404
1,5,6,17,10634,218,6,0,37991
0,17,10,10,13575,108,1,0,44065
0,18,19,7,10810,138,14,7,5350
0,4,15,5,13533,282,7,6,23312
0,14,3,0,10934,231,6,2,29127
1,1,5,0,15179,251,14,5,33853
0,9,2,7,17251,199,13,8,42500
1,17,8,4,18131,132,7,6,38785
1,12,9,15,8109,114,11,2,23610
1,4,13,10,9082,113,12,5,28590
0,0,10,4,18822,120,10,3,34443
1,0,17,3,17707,53,16,2,12170
0,17,11,5,15990,242,16,8,18303
1,14,11,13,8240,192,3,9,11207
1,16,12,18,15180,153,7,1,17316
1,10,12,8,11028,253,4,0,40187
1,16,18,11,16606,199,15,1,11240
1,12,18,10,6849,263,3,6,6893
1,0,13,13,13497,291,14,9,18753
1,1,3,15,16805,224,11,0,43090
1,8,12,0,7749,258,4,5,16232
0,2,7,12,18156,142,15,6,22509
0,0,18,12,11680,223,13,8,8117
1,15,11,1,14327,191,9,7,41929
1,5,17,3,18722,227,6,5,9042
1,16,5,5,5205,197,12,2,42201
0,4,17,4,12352,227,19,7,31746
1,4,18,2,9591,161,4,6,19016
0,5,4,0,8450,210,2,2,30022
0,2,8,3,12214,168,14,8,40426
0,4,2,19,19197,108,3,1,32938
0,4,9,1,8811,92,14,2,48678
0,9,18,4,16814,256,13,1,40712
1,9,2,2,16791,61,19,0,44978
1,18,14,8,15743,89,18,3,13787
1,16,0,19,10141,167,12,4,6986
1,13,6,5,17500,69,9,5,15942
1,8,11,17,13501,271,4,4,22458
0,13,16,5,7708,215,19,0,17161
1,0,19,18,6991,180,19,2,25689
1,18,4,11,13463,205,5,0,34163
0,12,3,10,16834,233,3,4,40775
1,12,11,1,17278,139,1,4,38737
0,3,19,14,15014,143,15,5,13772
1,0,17,11,8273,62,17,7,40592
0,16,16,11,19367,254,4,9,6211
1,7,18,8,9538,115,3,0,5229
1,1,8,1,19497,86,12,3,19345
0,7,3,2,17541,226,18,9,40953
0,6,1,11,13712,279,1,0,36819
0,1,3,15,14168,115,12,8,21885
0,2,1,0,8722,85,10,6,31708
0,17,14,2,8551,231,3,6,5048
0,11,1,19,17297,75,19,4,24950
0,0,3,1,15965,124,19,6,20173
0,11,5,8,15744,249,14,1,38737
1,4,6,18,7832,157,3,3,33036
1,16,9,14,17099,217,8,6,10820
0,15,18,17,10679,92,6,2,19292
1,14,18,10,11579,199,18,1,8052
1,14,11,15,18422,197,18,9,49377
1,4,2,16,5152,57,5,1,28781
1,13,12,4,10754,78,5,0,7302
0,1,17,11,16156,89,19,4,7283
1,10,7,10,16108,267,14,5,47567
0,18,14,14,7800,207,14,5,20620
1,6,0,2,19144,258,19,8,35461
1,5,2,0,10310,177,8,3,25750
1,1,7,19,14944,133,3,0,37890
0,5,3,15,7610,165,17,5,28183
1,17,15,1,17067,232,17,4,14472
0,1,9,1,6104,193,4,9,8727
1,17,11,2,15728,223,19,5,30523
0,14,13,7,18182,111,10,2,35766
1,18,13,14,18399,284,4,1,42726
0,1,1,6,12361,56,3,5,5524
0,19,4,5,9199,257,11,0,14079
1,5,4,8,8854,94,1,6,13399
0,0,5,19,12263,236,12,6,32370
1,14,12,0,16686,288,9,9,21532
1,9,8,7,6914,233,8,6,21821
1,18,14,2,12365,225,9,9,48162
1,16,13,3,8072,204,6,0,8749
1,4,6,14,14198,230,3,3,16353
1,3,19,5,5406,264,18,6,33477
1,9,1,14,18689,137,9,8,29570
1,16,6,2,5166,122,2,4,25837
1,9,5,13,5508,212,18,1,16437
1,16,16,19,6661,228,1,6,43104
1,19,1,13,19648,261,19,9,9551
0,4,2,3,8664,86,9,0,7823
0,1,4,11,8489,283,1,6,17916
1,5,4,16,18050,258,1,5,20167
1,1,0,6,5680,288,16,6,46445
1,12,7,8,7524,272,15,9,13391
1,10,11,2,7120,168,15,2,17658
1,10,3,12,10260,106,13,2,34685
1,15,12,14,17869,57,6,6,28380
1,10,14,17,9357,256,10,1,47431
1,18,10,18,6363,144,0,0,33919
0,14,9,0,14523,166,10,8,7311
1,15,2,5,7292,271,3,8,44993
0,10,13,1,6538,159,6,6,49333
1,15,15,13,8408,69,14,6,48038
1,7,9,5,12742,173,17,2,18560
0,3,9,13,13752,280,11,9,43553
1,7,11,3,14291,102,16,1,30993
0,3,8,7,6903,168,0,6,35492
1,2,0,2,5174,61,10,8,25981
1,2,4,18,15348,226,0,0,29143
0,17,19,13,7230,66,14,3,17067
1,18,7,19,9287,113,9,5,28916
0,18,10,16,9160,91,6,6,46508
1,4,11,7,17112,143,1,9,8815
0,17,0,13,12106,206,9,6,36836
0,9,19,5,14689,196,3,9,42477
1,5,10,15,17046,287,11,1,42275
1,0,4,18,8171,60,18,3,44343
0,4,14,13,6567,147,10,4,9773
1,8,4,18,6151,227,7,0,17446
1,11,11,2,12619,120,17,0,35733
1,13,4,9,11033,157,10,9,15464
0,1,16,18,13560,107,10,2,26576
0,16,16,8,9946,83,12,9,8320
0,13,11,19,13234,69,2,2,15750
0,12,14,12,6907,99,11,7,42466
0,8,14,6,8490,151,2,8,31572
0,14,5,13,7535,265,9,0,22948
0,14,11,8,9173,187,16,1,43826
0,10,19,18,16065,209,1,9,28515
0,15,17,14,15016,101,16,1,32867
1,16,13,19,6293,64,15,3,5726
0,3,1,13,9769,278,1,1,30820
1,0,8,5,9796,133,19,6,11697
1,7,4,3,18046,180,5,8,49678
1,16,19,7,19211,86,9,6,47025
0,2,0,16,11871,175,9,5,17963
0,19,2,8,16578,298,7,9,6081
0,14,5,0,7972,89,0,0,25269
0,14,4,19,8922,121,12,9,15776
1,13,4,13,9997,89,8,8,36816
0,13,0,10,12032,285,9,4,19196
0,1,16,2,5992,105,14,4,47112
0,12,18,8,13112,200,4,5,20958
0,13,13,13,10287,153,15,8,28369
0,18,11,8,15578,188,12,7,16689
1,6,9,3,7240,159,19,7,22331
0,2,19,3,6476,241,17,7,42528
1,14,17,7,11426,185,10,0,18436
0,13,10,1,16599,142,8,0,5066
1,10,1,8,5389,143,15,7,35725
0,14,17,13,5999,105,1,4,30212
0,12,6,8,17812,109,1,8,38332
1,17,14,15,6855,187,11,1,30401
1,5,10,16,13125,88,7,8,18393
1,2,17,15,18794,77,8,7,8670
0,18,11,11,13850,98,11,8,30601
1,14,5,2,7763,213,8,3,7251
0,4,19,10,8663,174,9,0,38572
0,9,12,13,9986,62,1,0,32027
1,6,19,17,6481,273,15,4,36846
1,16,15,4,12256,85,19,1,26015
0,6,17,15,8731,150,6,7,14583
0,11,9,19,12262,75,1,9,28104
1,16,7,4,5451,135,0,4,17224
1,12,17,2,15667,53,18,4,43784
1,19,0,11,16414,272,3,1,35836
0,3,7,0,14729,131,1,6,34299
0,9,5,8,8093,241,13,7,18036
0,2,4,8,5882,215,1,9,24933
0,8,14,3,9408,176,14,0,17392
0,12,14,2,9068,137,11,1,12938
0,17,1,16,18127,176,4,9,9141
1,14,0,1,15758,169,19,3,28350
0,3,10,0,8277,264,6,4,14546
0,14,9,7,13566,71,9,1,10335
0,1,17,12,17738,179,13,0,10077
1,14,17,14,16889,80,13,8,10611
0,7,16,7,12951,168,4,0,45857
0,7,7,11,16254,60,17,3,40660
1,16,14,11,9690,269,13,1,10577
0,11,7,13,16442,95,1,3,25002
0,18,16,14,18521,145,11,7,44451
0,9,11,14,9595,239,5,7,39275
0,8,7,8,9559,246,3,8,33647
0,4,13,18,12291,241,12,4,39831
1,5,3,19,13160,279,3,6,39768
1,19,0,7,5112,59,13,2,35962
1,1,0,18,10131,217,15,9,34583
0,12,18,5,8197,177,3,3,6294
0,5,15,19,15570,287,0,9,20096
0,4,13,18,15116,201,12,8,41833
1,0,15,3,5139,148,3,9,32328
0,5,4,6,6424,221,19,9,29398
0,5,8,3,7949,161,17,0,22706
1,15,1,11,8168,109,5,1,27340
0,3,17,12,13708,239,2,4,23825
1,10,5,2,15808,136,12,2,22482
1,8,8,11,11043,194,15,1,14318
1,2,0,1,11989,114,4,0,46256
0,18,8,1,12236,296,3,9,49009
0,7,15,8,11261,272,7,2,48185
0,4,12,0,5887,272,18,0,20574
0,3,8,7,8104,283,13,0,19650
0,5,12,5,18629,106,6,0,33930
0,1,8,5,5049,232,13,7,25171
0,19,10,17,8951,155,5,2,39864
1,10,3,16,8560,230,11,0,16801
0,3,1,11,5018,233,15,6,27372
1,14,5,5,9821,275,16,9,21559
0,5,13,7,11340,58,12,2,37334
0,16,3,18,13058,71,13,7,44937
0,5,5,9,14665,190,6,3,18288
1,18,18,0,17253,138,13,3,27398
1,1,5,12,7606,225,14,4,15694
1,14,1,16,12846,67,11,5,17191
1,10,17,2,13643,164,16,6,23051
0,7,12,7,11432,253,8,3,15737
1,18,8,13,18452,217,14,7,30251
0,12,18,2,18395,194,11,5,10147
0,11,12,15,8765,192,1,0,24643
1,4,10,12,7438,155,4,0,43967
1,5,0,19,17502,64,12,8,38314
1,3,6,16,14741,256,19,9,42999
1,18,14,12,11358,112,7,5,45733
1,19,0,5,16666,296,13,9,23467
1,0,11,16,13319,216,14,7,39808
1,19,6,13,10941,62,10,6,6752
1,16,14,16,12644,130,0,5,6849
0,11,18,7,9855,81,2,3,7642
1,14,0,10,11547,186,16,6,6600
1,0,16,19,12196,89,18,8,25786
0,13,16,0,10911,197,13,9,49565
1,5,2,6,11481,267,7,9,25183
0,4,11,16,7761,268,12,6,6132
0,10,5,9,9456,262,19,0,43259
1,3,10,10,17856,131,2,9,36076
0,12,2,8,14607,126,4,8,43563
0,10,7,8,11361,257,8,3,31691
0,2,13,4,10693,250,5,2,48299
0,0,13,16,10788,240,1,3,15931
1,5,9,8,5201,125,12,3,12633
0,17,1,16,11160,221,4,9,42777
1,9,13,18,15561,87,7,1,39881
0,4,8,6,5517,260,0,0,6044
0,9,2,8,12737,237,19,9,40199
0,11,7,6,18636,120,11,0,29363
0,1,15,12,18723,298,10,7,6582
1,12,1,10,14533,276,6,1,19374
1,7,5,13,17968,97,14,9,6308
0,1,11,18,6988,67,10,4,26301
0,19,4,10,16737,193,15,3,13793
1,0,1,12,18779,232,2,7,6620
0,4,15,13,17712,88,19,1,34883
0,8,4,12,19256,245,13,9,42534
0,16,14,0,8802,236,2,8,42960
1,8,11,7,10808,138,0,6,44390
1,10,3,11,16467,273,14,6,11093
1,14,14,18,16846,111,0,0,27259
0,5,10,11,12162,281,16,1,25655
0,2,15,7,15626,190,1,3,38005
1,16,5,7,18065,158,19,3,36629
1,4,13,12,11241,130,5,2,28610
1,11,17,11,19114,290,7,6,26602
1,17,11,15,13399,278,15,7,25409
0,13,10,0,10633,183,18,1,16110
1,10,12,12,10755,260,0,3,11073
0,8,10,6,15825,126,2,2,40310
1,1,15,4,11309,298,2,1,20282
0,11,14,7,9117,237,4,5,15195
1,2,14,13,13345,139,11,3,6537
1,2,3,12,19250,63,11,5,22138
1,0,10,14,16558,144,19,1,49328
1,7,18,16,17506,103,12,3,45164
0,7,14,14,17956,181,19,5,29207
1,10,3,19,6518,88,8,4,25619
0,8,12,17,19565,121,6,2,29845
0,4,18,17,11163,74,3,7,29310
0,13,1,1,7600,126,18,6,42899
0,2,13,3,18237,209,18,2,35562
1,4,3,0,7195,236,5,5,33036
0,4,15,3,17690,279,12,3,13697
0,18,19,17,17883,240,10,4,22513
0,13,13,4,8554,215,12,4,48039
1,3,14,18,15606,169,12,6,8145
1,12,2,14,18725,269,19,4,32818
1,9,7,7,7849,102,14,2,35544
1,17,15,19,18445,271,12,9,18100
0,7,9,16,6742,244,10,4,25104
0,7,3,0,6306,205,18,6,9067
1,6,17,11,8849,180,7,4,41963
0,7,1,18,17360,286,19,4,35728
0,13,16,14,17768,295,7,8,37317
0,18,12,8,12519,275,9,2,36416
1,5,3,6,17847,257,15,5,47012
1,0,10,1,18032,199,18,0,45049
0,14,6,8,18754,145,10,9,7509
1,0,11,9,9195,215,12,4,26400
1,16,9,1,10178,249,8,7,11533
1,0,6,18,7555,296,19,4,19670
1,14,12,10,7305,121,18,8,8932
1,1,6,12,17700,111,15,5,43328
0,13,16,9,12619,234,6,7,41784
1,7,9,13,14280,55,18,9,28723
0,7,9,17,7642,255,11,7,5719
0,18,3,18,14369,81,14,2,5074
1,6,19,8,19296,148,13,6,31498
0,18,3,6,11409,187,10,6,36345
0,5,6,2,18108,180,9,9,25541
0,5,0,19,9757,236,10,5,39917
1,2,11,5,7994,125,5,6,31028
1,6,12,1,13751,226,1,1,34545
0,18,9,5,16156,108,10,8,19033
1,7,14,2,6271,80,18,9,36673
1,9,12,15,6813,142,5,9,35974
1,19,8,7,16107,118,13,0,28097
1,14,8,1,13801,239,19,0,41975
0,14,14,16,7461,101,5,2,32608
0,0,9,8,9120,138,16,2,28525
1,19,9,11,11124,176,9,0,20043
1,6,7,2,13475,218,0,6,46846
0,3,15,10,18760,80,2,3,16725
0,5,16,0,16120,262,7,9,41704
1,0,4,12,9396,299,7,1,47075
0,4,3,14,14283,133,19,9,42383
1,0,17,4,18318,280,14,4,34483
1,3,18,16,5816,176,6,5,12265
0,1,3,5,12304,199,10,8,27763
0,9,6,10,12331,181,6,3,15116
1,4,9,17,5082,62,3,1,20733
1,9,17,3,6920,94,11,4,30502
0,0,18,2,12817,176,5,2,42420
1,5,3,12,16683,219,13,1,48241
0,12,9,8,16336,163,11,0,14247
1,14,0,5,7093,226,10,9,28840
